"ticker","company","sector","fiscal_year","fiscal_year_end","data_type","revenue_mn","gross_profit_mn","ebitda_mn","net_income_mn","fcf_mn","capex_mn","ebitda_margin_pct","net_margin_pct","roa_pct","roe_pct","tax_rate_pct","debt_equity_pct","net_debt_equity_pct","debt_assets_pct","net_debt_assets_pct","ebitda_int_exp","st_debt_total_debt","debt_ebitda","cash_cfo_st_debt","receivables_days","days_payable","inventory_days","revenue_yoy","gp_yoy","ebitda_yoy","ni_yoy","fcf_yoy","capex_yoy"
"AAPL","Apple","Information Technology","FY2022","2022-09-30","A",394328,170782,130541,99803,111443,10708,33.1,25.3,28.3,197,NA,261.4,214.8,37.6,30.9,44.5,0.16,1,6.9,26.1,104.7,8.1,NA,NA,NA,NA,NA,NA
"AAPL","Apple","Information Technology","FY2023","2023-09-30","A",383285,169148,125820,96995,99584,10959,32.8,25.3,27.5,156.1,NA,178.8,130.5,31.5,23,32,0.14,0.9,8.9,28.1,106.7,10.8,-2.8,-1,-3.6,-2.8,-10.6,2.3
"AAPL","Apple","Information Technology","FY2024","2024-09-30","A",391035,180683,134661,93736,108807,9447,34.4,24,25.7,164.6,NA,187.2,134.7,29.2,21,NA,0.2,0.8,7.1,31.2,119.7,12.6,2,6.8,7,-3.4,9.3,-13.8
"AAPL","Apple","Information Technology","FY2025","2025-09-30","A",416161,195201,144748,112010,98767,12715,34.8,26.9,31.2,151.9,NA,133.8,85.1,27.5,17.5,NA,0.21,0.7,7.3,34.9,115.4,9.4,6.4,8,7.5,19.5,-9.2,34.6
"AMZN","Amazon","Consumer Discretionary","FY2022","2022-12-31","A",513983,225152,38352,-2722,-16893,63645,7.5,-0.5,-0.6,-1.9,NA,95.9,59,30.3,18.6,16.2,NA,3.7,NA,30.1,100.6,43.5,NA,NA,NA,NA,NA,NA
"AMZN","Amazon","Consumer Discretionary","FY2023","2023-12-31","A",574785,270046,89402,30425,32217,52729,15.6,5.3,5.8,15.1,NA,67.2,30.8,25.7,11.8,28.1,NA,1.5,NA,33.2,101.8,39.9,11.8,19.9,133.1,-1217.7,-290.7,-17.2
"AMZN","Amazon","Consumer Discretionary","FY2024","2024-12-31","A",637959,311671,123815,59248,32878,82999,19.4,9.3,9.5,20.7,NA,45.8,18.2,20.9,8.3,51.5,NA,1.1,NA,31.7,105.6,38.3,11,15.4,38.5,94.7,2.1,57.4
"AMZN","Amazon","Consumer Discretionary","FY2025","2025-12-31","A",716924,360510,165341,77670,7695,131819,23.1,10.8,9.5,18.9,NA,37.2,16.1,18.7,8.1,72.7,NA,0.9,NA,34.5,124.8,39.2,12.4,15.7,33.5,31.1,-76.6,58.8
"GOOGL","Alphabet","Communication Services","FY2022","2022-12-31","A",282836,156633,85160,59972,60010,31485,30.1,21.2,16.4,23.4,NA,11.6,3,8.1,2.1,238.5,NA,0.3,NA,52,14.8,7.7,NA,NA,NA,NA,NA,NA
"GOOGL","Alphabet","Communication Services","FY2023","2023-12-31","A",307394,174062,97971,73795,69495,32251,31.9,24,18.3,26,NA,9.6,1.1,6.7,0.8,318.1,NA,0.3,NA,57,20.5,NA,8.7,11.1,15,23,15.8,2.4
"GOOGL","Alphabet","Communication Services","FY2024","2024-12-31","A",350018,203712,135394,100118,72764,52535,38.7,28.6,22.2,30.8,NA,6.9,-0.3,5,-0.2,505.2,NA,0.2,NA,54.6,19.9,NA,13.9,17,38.2,35.7,4.7,62.9
"GOOGL","Alphabet","Communication Services","FY2025","2025-12-31","A",402836,240301,180698,132170,73266,91447,44.9,32.8,22.2,31.8,NA,14.3,6.9,10,4.8,245.5,NA,0.3,NA,57,27.4,NA,15.1,18,33.5,32,0.7,74.1
