"ticker","fiscal_year","pe_x","pb_x","dividend_yield_pct","ev_ebitda_x","fcf_yield_pct"
"AAPL","FY2021",NA,43.4,0.4,NA,NA
"AAPL","FY2022",38.4,43.4,0.4,92.3,2.9
"AAPL","FY2023",39.5,43.4,0.4,70.1,2.6
"AAPL","FY2024",40.8,43.4,0.4,66.7,2.8
"AAPL","FY2025",34.2,43.4,0.4,49,2.6
"AMZN","FY2022",NA,6.2,0,106.3,-0.7
"AMZN","FY2023",84.3,6.2,0,37.5,1.3
"AMZN","FY2024",43.3,6.2,0,24.5,1.3
"AMZN","FY2025",33,6.2,0,18,0.3
"GOOGL","FY2021",NA,9.2,0.3,NA,NA
"GOOGL","FY2022",64,9.2,0.3,46.4,1.6
"GOOGL","FY2023",52,9.2,0.3,39.6,1.8
"GOOGL","FY2024",38.3,9.2,0.3,28.3,1.9
"GOOGL","FY2025",29,9.2,0.3,22.7,1.9
"META","FY2022",68.7,7.3,0.3,46.3,1.2
"META","FY2023",40.8,7.3,0.3,26.2,2.8
"META","FY2024",25.6,7.3,0.3,18.9,3.4
"META","FY2025",26.4,7.3,0.3,18.4,2.9
"MSFT","FY2022",37.9,7,0.9,35.3,2.4
"MSFT","FY2023",38.1,7,0.9,29.4,2.2
"MSFT","FY2024",31.3,7,0.9,24.5,2.7
"MSFT","FY2025",27.1,7,0.9,18.7,2.6
"NVDA","FY2023",1049.6,29.1,0,1065.4,0.1
"NVDA","FY2024",154.1,29.1,0,140.2,0.6
"NVDA","FY2025",62.9,29.1,0,54.2,1.3
"NVDA","FY2026",38.2,29.1,0,31.8,2.1
"TSLA","FY2022",104.1,15.9,0,56.7,0.6
"TSLA","FY2023",87.3,15.9,0,78.9,0.3
"TSLA","FY2024",183.6,15.9,0,85.9,0.3
"TSLA","FY2025",345.1,15.9,0,108.9,0.5
